Dim,TimeNothing,GFLOPSNothin,TimeTranspose,GFLOPSTranspose,TimeUnrollTranspose,GFLOPSTransposeUnroll,TimeBlocking,GFLOPSEBlocking
32,0.0001,1.09,0.0001,1.11,0.0001,1.31,0.0000,1.56
64,0.0004,1.17,0.0004,1.38,0.0004,1.44,0.0003,1.69
96,0.0015,1.21,0.0013,1.37,0.0012,1.45,0.0010,1.71
128,0.0037,1.14,0.0032,1.32,0.0015,2.76,0.0013,3.19
160,0.0038,2.15,0.0032,2.53,0.0030,2.78,0.0025,3.28
192,0.0073,1.95,0.0056,2.54,0.0051,2.75,0.0044,3.25
224,0.0122,1.84,0.0089,2.53,0.0081,2.76,0.0069,3.26
256,0.0267,1.26,0.0135,2.48,0.0124,2.70,0.0114,2.95
320,0.0431,1.52,0.0259,2.53,0.0237,2.77,0.0205,3.19
384,0.0887,1.28,0.0449,2.52,0.0409,2.77,0.0379,2.99
448,0.1292,1.39,0.0716,2.51,0.0652,2.76,0.0575,3.13
512,0.2243,1.20,0.1090,2.46,0.0982,2.73,0.0929,2.89
640,1.4620,0.36,0.2091,2.51,0.1903,2.76,0.1744,3.01
768,2.8173,0.32,0.3644,2.49,0.3318,2.73,0.3084,2.94
896,4.5264,0.32,0.5834,2.47,0.5271,2.73,0.4840,2.97
1024,6.5820,0.33,0.8771,2.45,0.7882,2.72,0.8339,2.58
1280,14.0733,0.30,1.8096,2.32,1.6016,2.62,1.4573,2.88
1536,26.0522,0.28,3.7352,1.94,3.3898,2.14,2.6424,2.74
1792,44.2021,0.26,7.0448,1.63,6.7159,1.71,4.2551,2.70
2048,130.2466,0.13,10.9711,1.57,10.3925,1.65,12.5765,1.37
