Dim,TimeNothing,GFLOPSNothin,TimeTranspose,GFLOPSTranspose,TimeUnrollTranspose,GFLOPSTransposeUnroll,TimeBlocking,GFLOPSEBlocking
32,0.0001,1.09,0.0001,0.91,0.0001,1.06,0.0000,1.43
64,0.0005,1.05,0.0004,1.17,0.0004,1.19,0.0003,1.52
96,0.0016,1.08,0.0014,1.23,0.0014,1.25,0.0012,1.53
128,0.0050,0.83,0.0030,1.41,0.0016,2.64,0.0013,3.19
160,0.0039,2.09,0.0034,2.40,0.0030,2.70,0.0025,3.28
192,0.0078,1.82,0.0059,2.42,0.0053,2.69,0.0044,3.25
224,0.0128,1.76,0.0093,2.42,0.0083,2.70,0.0069,3.26
256,0.0265,1.27,0.0138,2.43,0.0126,2.66,0.0114,2.94
320,0.0411,1.60,0.0268,2.44,0.0241,2.72,0.0206,3.19
384,0.0884,1.28,0.0464,2.44,0.0414,2.74,0.0382,2.97
448,0.1277,1.41,0.0737,2.44,0.0655,2.75,0.0575,3.13
512,0.2212,1.21,0.1090,2.46,0.0986,2.72,0.0939,2.86
640,1.4558,0.36,0.2138,2.45,0.1913,2.74,0.1766,2.97
768,2.8129,0.32,0.3722,2.43,0.3326,2.72,0.3079,2.94
896,4.5155,0.32,0.5927,2.43,0.5284,2.72,0.4843,2.97
1024,6.5765,0.33,0.8773,2.45,0.7885,2.72,0.8369,2.57
1280,13.9301,0.30,1.8088,2.32,1.5580,2.69,1.4534,2.89
1536,26.0269,0.28,3.7205,1.95,3.3676,2.15,2.6553,2.73
1792,44.0265,0.26,7.0504,1.63,6.7842,1.70,4.2921,2.68
2048,131.1692,0.13,10.8814,1.58,10.6660,1.61,12.6998,1.35
