Dim,TimeNothing,GFLOPSNothin,TimeTranspose,GFLOPSTranspose,TimeUnrollTranspose,GFLOPSTransposeUnroll,TimeBlocking,GFLOPSEBlocking
32,0.0000,4.66,0.0000,5.39,0.0000,2.43,0.0000,3.27
64,0.0001,5.35,0.0001,7.72,0.0001,4.36,0.0001,3.62
96,0.0003,5.09,0.0002,7.56,0.0005,3.25,0.0005,3.66
128,0.0008,5.45,0.0006,7.17,0.0010,4.41,0.0012,3.48
160,0.0016,5.09,0.0012,6.96,0.0023,3.60,0.0023,3.59
192,0.0029,4.95,0.0022,6.53,0.0032,4.42,0.0039,3.61
224,0.0047,4.82,0.0036,6.32,0.0059,3.78,0.0062,3.63
256,0.0070,4.78,0.0058,5.81,0.0079,4.23,0.0102,3.29
320,0.0141,4.65,0.0106,6.19,0.0149,4.40,0.0187,3.50
384,0.0242,4.68,0.0184,6.15,0.0256,4.42,0.0345,3.29
448,0.0383,4.70,0.0291,6.17,0.0405,4.44,0.0525,3.43
512,0.0571,4.70,0.0447,6.00,0.0620,4.33,0.1285,2.09
640,0.1128,4.65,0.0845,6.20,0.1192,4.40,0.1614,3.25
768,0.1950,4.65,0.1475,6.14,0.2079,4.36,0.2767,3.27
896,0.3081,4.67,0.2331,6.17,0.3302,4.36,0.4381,3.28
1024,0.4591,4.68,0.3622,5.93,0.4965,4.33,1.0386,2.07
1280,1.0261,4.09,0.8215,5.11,1.0871,3.86,1.3083,3.21
1536,2.5337,2.86,2.3781,3.05,2.6408,2.74,3.5998,2.01
1792,6.0508,1.90,5.6307,2.04,6.3397,1.82,3.8292,3.01
2048,9.6916,1.77,9.1472,1.88,10.4327,1.65,11.7630,1.46
