Dim,TimeNothing,GFLOPSNothin,TimeTranspose,GFLOPSTranspose,TimeUnrollTranspose,GFLOPSTransposeUnroll,TimeBlocking,GFLOPSEBlocking
32,0.0001,1.26,0.0001,0.92,0.0000,1.64,0.0000,1.72
64,0.0004,1.20,0.0003,1.53,0.0003,1.64,0.0003,1.80
96,0.0014,1.25,0.0011,1.54,0.0012,1.52,0.0011,1.64
128,0.0052,0.81,0.0030,1.41,0.0021,2.02,0.0018,2.31
160,0.0060,1.36,0.0041,1.97,0.0041,2.01,0.0035,2.36
192,0.0117,1.21,0.0073,1.95,0.0071,1.99,0.0060,2.34
224,0.0179,1.26,0.0115,1.95,0.0114,1.98,0.0096,2.35
256,0.0388,0.87,0.0177,1.90,0.0176,1.91,0.0158,2.13
320,0.0601,1.09,0.0309,2.12,0.0256,2.56,0.0220,2.98
384,0.0920,1.23,0.0447,2.53,0.0444,2.55,0.0403,2.81
448,0.1335,1.35,0.0713,2.52,0.0705,2.55,0.0616,2.92
512,0.2858,0.94,0.1091,2.46,0.1085,2.47,0.1296,2.07
640,1.4806,0.35,0.2087,2.51,0.2087,2.51,0.1865,2.81
768,2.8922,0.31,0.3642,2.49,0.3641,2.49,0.3308,2.74
896,4.6583,0.31,0.5813,2.47,0.5791,2.48,0.5156,2.79
1024,6.7796,0.32,0.8768,2.45,0.8717,2.46,1.0509,2.04
1280,14.4227,0.29,1.7934,2.34,1.7235,2.43,1.5415,2.72
1536,27.0153,0.27,3.7280,1.94,3.7041,1.96,3.6852,1.97
1792,45.6689,0.25,7.0116,1.64,6.8993,1.67,4.5418,2.53
2048,133.6318,0.13,10.9918,1.56,10.7351,1.60,13.6717,1.26
